id,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_play,squad_max_play
1,Goalkeepers,GKP,Goalkeeper,GKP,2,1,1
2,Defenders,DEF,Defender,DEF,5,3,5
3,Midfielders,MID,Midfielder,MID,5,2,5
4,Forwards,FWD,Forward,FWD,3,1,3
