element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,GW,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,Cost,transfers_balance,selected,transfers_in,transfers_out
377,27,12,1,True,2024-09-01 15:00:00+00:00,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,0.0,6.0,1.0,0,0.00,0.00,0.00,0.42,5.0,-6127,72975,5285,11412
377,38,17,0,False,2024-09-14 11:30:00+00:00,0,3,4,16,0,0,0,0,0,0,0,1,0,0,0,-1.0,1.6,0.9,0.0,0.3,0,0.00,0.01,0.01,0.00,5.0,-5194,72824,4334,9528
377,43,7,0,False,2024-09-21 16:30:00+00:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,-6712,67705,1253,7965
377,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-5879,63264,937,6816
377,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,45,0,0,0,0,0,0,0,1,0,0,0,0.0,1.8,0.5,0.0,0.2,1,0.00,0.00,0.00,0.15,4.9,-4710,59659,1292,6002
378,1,9,3,True,2024-08-16 19:00:00+00:00,1,0,1,83,0,0,1,0,0,0,0,0,0,0,0,21.0,12.0,3.7,1.0,1.7,1,0.03,0.01,0.04,0.38,5.5,0,533586,0,0
378,13,5,1,False,2024-08-24 11:30:00+00:00,2,1,2,90,0,0,0,2,0,0,0,1,0,0,0,18.0,14.4,1.3,4.0,2.0,1,0.00,0.01,0.01,2.09,5.5,-15046,591550,39563,54609
378,27,12,1,True,2024-09-01 15:00:00+00:00,0,3,3,90,0,0,0,3,0,0,0,1,0,0,0,8.0,3.4,2.3,0.0,0.6,1,0.00,0.04,0.04,1.73,5.5,-96906,513548,28604,125510
378,38,17,2,False,2024-09-14 11:30:00+00:00,0,3,4,90,0,0,1,0,0,0,0,1,0,0,0,10.0,14.4,17.1,4.0,3.6,1,0.05,0.13,0.18,1.12,5.4,-60676,470039,26044,86720
378,43,7,3,False,2024-09-21 16:30:00+00:00,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,13.0,5.2,4.7,6.0,1.6,1,0.04,0.14,0.18,1.01,5.4,-37502,439743,10872,48374
378,57,18,1,True,2024-09-29 15:30:00+00:00,0,3,6,44,0,0,0,1,0,0,0,0,0,0,0,9.0,13.0,14.8,4.0,3.2,1,0.00,0.10,0.10,1.99,5.3,-37848,406183,9954,47802
378,62,2,2,False,2024-10-06 13:00:00+00:00,0,0,7,84,0,0,1,0,0,0,0,1,0,0,0,13.0,10.8,13.8,4.0,2.9,1,0.01,0.02,0.03,0.33,5.3,-53378,355143,6277,59655
379,1,9,0,True,2024-08-16 19:00:00+00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.5,0,1453,0,0
379,13,5,0,False,2024-08-24 11:30:00+00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.5,-404,1100,41,445
379,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-155,976,38,193
379,38,17,0,False,2024-09-14 11:30:00+00:00,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-81,946,36,117
379,43,7,0,False,2024-09-21 16:30:00+00:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-32,918,27,59
379,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-16,912,33,49
379,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-22,904,22,44
380,1,9,7,True,2024-08-16 19:00:00+00:00,1,0,1,90,0,0,1,0,0,0,0,0,0,0,1,26.0,19.4,11.9,0.0,3.1,1,0.00,0.02,0.02,0.44,4.5,0,403535,0,0
380,13,5,1,False,2024-08-24 11:30:00+00:00,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,8.0,10.2,4.3,0.0,1.5,1,0.00,0.19,0.19,2.09,4.5,63225,589233,85495,22270
380,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,90,0,0,0,3,0,0,0,1,0,0,0,-5.0,9.6,1.3,4.0,1.5,1,0.34,0.01,0.35,1.73,4.5,-52241,549345,23873,76114
380,38,17,6,False,2024-09-14 11:30:00+00:00,0,3,4,76,0,0,1,0,0,0,0,0,0,0,0,34.0,17.0,0.7,0.0,1.8,1,0.00,0.00,0.00,1.12,4.5,-34666,533899,26429,61095
380,43,7,5,False,2024-09-21 16:30:00+00:00,0,0,5,90,0,0,1,0,0,0,0,1,0,0,0,18.0,20.4,1.0,33.0,5.4,1,0.21,0.01,0.22,1.01,4.5,-18924,519779,11003,29927
380,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,90,0,0,0,3,0,0,0,1,0,0,0,2.0,17.2,10.9,27.0,5.5,1,0.24,0.03,0.27,4.59,4.5,-5688,520368,30272,35960
380,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.5,-32962,491160,13259,46221
381,1,9,1,True,2024-08-16 19:00:00+00:00,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3.0,0.6,0.1,0.0,0.1,0,0.00,0.00,0.00,0.06,5.0,0,93204,0,0
381,13,5,1,False,2024-08-24 11:30:00+00:00,2,1,2,11,0,0,0,1,0,0,0,0,0,0,0,1.0,2.6,0.2,5.0,0.8,0,0.07,0.00,0.07,0.60,5.0,-11585,87147,2645,14230
381,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-25026,64046,4046,29072
381,38,17,0,False,2024-09-14 11:30:00+00:00,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-31618,32686,0,31618
381,43,7,0,False,2024-09-21 16:30:00+00:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-7000,26443,0,7000
381,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-3866,22645,0,3866
381,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-2312,20368,0,2312
382,1,9,2,True,2024-08-16 19:00:00+00:00,1,0,1,60,0,0,1,0,0,0,0,1,0,0,0,-1.0,10.2,22.8,25.0,5.8,1,0.30,0.03,0.33,0.21,6.5,0,22295,0,0
382,13,5,1,False,2024-08-24 11:30:00+00:00,2,1,2,45,0,0,0,1,0,0,0,0,0,0,0,3.0,2.8,0.9,17.0,2.1,1,0.09,0.00,0.09,0.81,6.5,-1897,26288,1642,3539
382,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,6.4,-9012,17627,324,9336
382,38,17,0,False,2024-09-14 11:30:00+00:00,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,6.4,-4822,13078,113,4935
382,43,7,0,False,2024-09-21 16:30:00+00:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,6.3,-1171,12046,62,1233
382,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,39,0,0,0,2,0,0,0,1,0,0,0,1.0,4.4,24.3,0.0,2.9,0,0.00,0.01,0.01,2.03,6.3,-315,12140,256,571
382,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,6.3,-598,11691,167,765
383,1,9,6,True,2024-08-16 19:00:00+00:00,1,0,1,90,0,0,1,0,0,0,0,0,0,2,0,25.0,16.8,0.0,0.0,1.7,1,0.00,0.00,0.00,0.44,5.0,0,517448,0,0
383,13,5,1,False,2024-08-24 11:30:00+00:00,2,1,2,90,0,0,0,2,0,0,0,0,0,2,0,14.0,25.4,0.0,0.0,2.5,1,0.00,0.00,0.00,2.09,5.0,7251,610690,39700,32449
383,27,12,1,True,2024-09-01 15:00:00+00:00,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,-1.0,6.0,0.0,0.0,0.6,1,0.00,0.00,0.00,1.73,5.0,-82901,537051,10711,93612
383,38,17,13,False,2024-09-14 11:30:00+00:00,0,3,4,90,0,0,1,0,0,1,0,0,0,3,1,38.0,49.8,0.0,0.0,5.0,1,0.00,0.00,0.00,1.12,5.0,-38891,516214,27271,66162
383,43,7,9,False,2024-09-21 16:30:00+00:00,0,0,5,90,0,0,1,0,0,0,0,0,0,4,2,32.0,34.0,0.0,0.0,3.4,1,0.00,0.00,0.00,1.01,5.0,38207,569878,59694,21487
383,57,18,3,True,2024-09-29 15:30:00+00:00,0,3,6,90,0,0,0,3,0,0,0,0,0,7,0,11.0,52.2,0.0,0.0,5.2,1,0.00,0.00,0.00,4.59,5.0,31926,610990,66843,34917
383,62,2,6,False,2024-10-06 13:00:00+00:00,0,0,7,90,0,0,1,0,0,0,0,0,0,1,0,21.0,7.6,0.0,0.0,0.8,1,0.00,0.00,0.00,0.42,5.0,-4828,614347,34090,38918
384,1,9,0,True,2024-08-16 19:00:00+00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,0,2174,0,0
384,13,5,0,False,2024-08-24 11:30:00+00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,-655,1935,61,716
384,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,-644,1310,0,644
384,38,17,0,False,2024-09-14 11:30:00+00:00,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,-225,1092,0,225
384,43,7,0,False,2024-09-21 16:30:00+00:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,-77,1023,0,77
384,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,-55,966,0,55
384,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,-41,927,0,41
385,1,9,3,True,2024-08-16 19:00:00+00:00,1,0,1,90,0,0,1,0,0,0,0,0,0,0,0,5.0,4.6,14.8,8.0,2.7,1,0.00,0.11,0.11,0.44,7.0,0,410469,0,0
385,13,5,2,False,2024-08-24 11:30:00+00:00,2,1,2,64,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0,7.3,4.0,1.1,1,0.00,0.01,0.01,1.33,7.0,-33984,412866,21693,55677
385,27,12,2,True,2024-09-01 15:00:00+00:00,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,18.0,12.8,33.0,8.0,5.4,1,0.00,0.59,0.59,1.73,6.9,-106841,313798,10846,117687
385,38,17,8,False,2024-09-14 11:30:00+00:00,0,3,4,72,1,0,1,0,0,0,0,0,0,0,0,28.0,42.8,14.1,38.0,9.5,1,0.40,0.01,0.41,1.12,6.9,-36179,289386,23824,60003
385,43,7,1,False,2024-09-21 16:30:00+00:00,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,4.0,2.2,1.7,0.0,0.4,0,0.00,0.05,0.05,0.84,6.9,101097,405441,118652,17555
385,57,18,2,True,2024-09-29 15:30:00+00:00,0,3,6,72,0,0,0,2,0,0,0,0,0,0,0,12.0,14.0,23.5,4.0,4.2,1,0.00,0.05,0.05,2.86,6.9,-42506,360701,24148,66654
385,62,2,2,False,2024-10-06 13:00:00+00:00,0,0,7,63,0,0,1,0,0,0,0,1,0,0,0,7.0,6.8,11.5,28.0,4.6,1,0.18,0.01,0.19,0.28,6.9,-45739,319756,13357,59096
387,1,9,0,True,2024-08-16 19:00:00+00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,5.0,0,74935,0,0
387,13,5,0,False,2024-08-24 11:30:00+00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-30002,45042,120,30122
387,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-10834,35121,240,11074
387,38,17,0,False,2024-09-14 11:30:00+00:00,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-6260,29321,261,6521
387,43,7,0,False,2024-09-21 16:30:00+00:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-2972,26565,85,3057
387,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-2610,24040,84,2694
387,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.9,-1746,22361,84,1830
389,1,9,8,True,2024-08-16 19:00:00+00:00,1,0,1,29,1,0,0,0,0,0,0,0,0,0,3,33.0,33.2,1.8,17.0,5.2,0,0.07,0.00,0.07,0.23,7.0,0,172194,0,0
